track_id,acoustic,danceable,energetic,instrumental,lively,speechy,happy
2,0,1,0,0,0,0,0
3,0,0,1,0,0,1,0
5,0,1,1,0,1,0,1
10,1,1,1,1,0,0,1
134,0,0,0,0,0,1,1
139,0,0,0,1,0,0,0
140,0,1,0,0,0,0,1
141,1,0,0,0,0,0,0
142,0,0,1,1,0,0,0
144,1,0,0,1,1,0,1
145,0,0,0,0,0,0,1
146,0,0,0,0,0,0,1
147,1,1,1,0,0,0,1
153,1,0,1,1,0,0,0
154,1,0,0,1,0,0,0
155,1,0,1,1,1,0,0
169,1,0,1,0,0,0,0
170,1,0,1,1,0,0,0
171,0,0,0,1,0,0,0
172,1,0,1,1,0,0,0
173,1,0,0,1,0,0,0
174,0,0,1,1,0,1,0
175,1,0,1,0,1,1,0
176,1,0,1,1,1,0,0
177,1,0,0,0,0,0,0
178,1,0,0,1,0,0,0
179,1,0,1,1,1,1,0
189,1,1,0,1,0,0,0
190,1,0,0,0,0,0,0
191,1,0,0,1,0,0,0
192,1,1,0,0,0,1,1
193,1,1,0,0,0,0,0
194,1,0,0,0,0,0,0
195,1,0,0,1,0,0,0
196,1,0,0,1,0,0,0
197,1,1,0,0,0,1,1
198,1,0,0,1,0,0,0
199,1,1,0,1,0,0,0
200,1,0,0,0,0,0,0
201,1,0,0,1,0,0,1
202,1,0,0,1,0,0,0
203,1,1,0,0,0,0,1
204,1,0,0,0,0,0,0
205,1,0,0,1,0,0,0
206,1,0,0,1,0,0,1
207,1,1,0,1,0,1,1
208,1,0,0,0,0,0,0
209,1,0,0,1,1,0,0
210,1,0,0,0,0,0,0
211,1,1,0,0,0,0,0
212,1,1,0,0,1,0,0
213,1,0,0,1,0,0,0
226,0,0,1,1,0,0,1
228,0,0,1,1,0,0,0
236,0,1,0,0,0,0,1
237,1,0,0,1,0,0,0
238,1,0,0,1,0,0,0
247,1,0,0,1,0,0,1
249,1,0,0,1,0,0,0
252,1,1,0,1,0,0,0
255,1,1,0,1,0,0,1
256,0,0,1,1,1,0,0
257,0,0,1,1,0,0,0
258,0,0,1,1,0,0,0
303,1,0,0,1,0,1,0
304,1,0,0,1,0,0,0
305,1,1,0,1,0,0,0
306,1,0,0,0,0,0,0
307,1,0,0,0,0,0,0
308,1,0,0,1,0,0,0
309,0,0,0,1,0,0,0
310,1,1,0,1,0,0,0
311,0,1,0,0,0,0,1
312,1,0,0,1,0,1,0
313,1,1,0,0,0,0,0
314,0,1,0,0,0,0,1
315,0,0,0,1,0,0,0
316,1,0,0,0,0,1,0
317,1,0,0,1,1,0,0
318,0,0,0,1,0,0,0
319,1,0,0,1,0,0,0
320,1,1,0,0,0,0,0
321,1,0,0,1,0,0,0
322,1,0,0,1,0,0,0
323,1,0,0,1,0,0,0
324,1,0,0,1,0,0,0
325,1,0,0,1,0,1,0
326,1,1,1,1,0,1,0
327,1,0,0,1,0,0,1
328,0,1,0,0,0,0,0
331,1,1,0,1,0,0,1
332,1,0,0,1,0,1,0
333,1,0,0,0,0,1,0
334,1,0,0,1,0,0,0
335,1,1,0,1,0,0,0
336,1,0,0,0,0,0,0
337,1,0,0,0,0,0,1
338,1,0,0,0,0,0,0
339,1,0,0,0,0,0,1
340,1,1,0,1,0,0,0
341,1,0,0,0,0,0,0
342,0,0,0,0,0,0,0
343,0,0,0,0,0,0,0
344,1,0,0,1,0,1,0
345,1,0,0,1,0,1,0
346,1,1,0,1,0,0,1
347,1,1,0,1,0,1,1
348,0,0,0,0,0,0,0
350,1,0,0,1,0,0,1
351,1,1,0,1,0,1,1
352,1,0,0,1,0,0,0
353,1,1,0,0,0,0,1
354,1,0,0,1,0,0,0
355,1,0,0,1,0,0,1
356,0,1,0,1,1,0,0
359,1,1,0,1,0,0,0
361,1,0,0,1,0,0,0
362,0,0,0,0,0,0,1
363,1,1,0,0,0,1,0
364,1,1,0,0,0,1,0
365,1,0,0,1,1,0,1
366,1,0,0,0,0,0,0
367,1,0,0,1,0,0,0
368,0,0,0,0,0,0,0
369,0,1,0,1,0,1,0
370,0,0,0,1,0,0,0
384,0,0,1,0,0,0,0
386,0,1,1,1,0,0,0
387,0,0,0,0,0,0,0
394,0,0,0,1,1,1,0
395,0,0,1,1,1,0,0
396,1,0,0,1,1,0,0
397,0,0,0,0,1,0,0
398,0,0,1,1,1,0,0
399,0,0,1,1,0,0,0
400,1,0,0,0,0,0,0
401,1,0,0,1,1,0,0
402,1,0,0,1,1,0,0
403,1,0,1,1,0,1,0
404,1,0,0,1,0,0,0
405,0,0,0,1,0,0,0
406,1,0,0,1,0,0,0
407,1,0,1,1,1,0,0
408,0,0,0,1,0,0,0
410,1,0,1,1,0,0,0
411,1,0,0,1,0,0,0
412,1,0,0,0,1,1,0
414,1,0,0,0,1,1,0
416,0,0,0,0,1,0,0
461,1,0,0,0,1,0,1
462,1,1,0,0,1,0,0
463,1,1,0,0,0,0,0
464,1,1,0,0,0,0,1
465,1,1,0,0,1,0,1
520,1,1,0,1,0,0,0
521,1,0,0,1,0,0,1
522,1,0,0,0,0,0,1
523,1,0,0,1,0,0,0
524,1,0,0,1,0,0,1
525,1,0,0,1,0,0,0
526,1,0,0,1,0,0,1
527,1,0,1,1,0,0,1
528,1,0,0,1,0,0,0
529,1,0,1,1,0,0,1
530,1,0,0,1,0,0,0
531,1,0,0,1,0,0,0
532,0,1,1,1,0,0,1
533,0,0,0,0,0,0,0
534,1,0,0,1,0,0,0
535,1,0,0,1,0,0,0
536,1,0,0,1,0,0,0
537,1,0,0,1,0,1,0
538,1,0,0,1,0,0,0
539,1,0,0,1,0,0,0
540,1,0,0,1,0,0,0
541,1,0,0,1,0,0,0
542,1,0,0,1,0,0,0
543,1,0,0,1,0,0,0
544,1,0,0,1,0,0,0
545,1,0,0,1,0,0,0
546,1,0,0,1,0,0,0
547,1,0,0,1,0,0,0
548,1,0,0,0,0,1,0
549,1,0,0,0,0,1,1
550,0,1,0,0,0,0,1
562,0,0,0,1,0,0,0
563,0,1,0,1,0,0,0
564,1,1,0,1,0,0,1
565,0,0,1,1,1,0,0
566,1,1,0,0,0,0,0
567,1,1,0,1,0,0,1
568,0,1,0,1,0,0,1
569,0,1,1,1,0,0,1
570,0,1,0,1,0,0,1
571,1,0,0,0,0,0,0
572,1,1,0,1,0,0,1
573,0,0,0,1,0,0,0
574,0,0,1,0,1,0,0
579,0,0,1,0,0,0,0
580,0,0,1,0,1,0,0
583,1,1,0,1,1,1,0
